node_id,domain,node_type,status,criticality,weight,unlock_score,expected_path,actual_path,repo_exists,vps_exists,health,requires,delivers_to,consumes,process,produces,blocked_by,evidence,recommendation,metadata
thanos-store,Observability,CONTAINER,BROKEN,SUPPORT,3.0,6.0,,,True,True,UNHEALTHY,"[""minio""]","[""thanos-query""]",,,,[],"[""repo_path=True"", ""dockerfile=True"", ""compose=True"", ""container=arbitragex-v2-thanos-store-1"", ""health=UNHEALTHY"", ""active_compose=/opt/arbitragex-v2/docker/compose.prod.yml""]",Restore or start the service only through the approved deployment workflow.,"{""dockerfile"": ""docker/compose.prod.yml"", ""ports"": [], ""image"": ""quay.io/thanos/thanos:v0.36.1"", ""container_name"": ""arbitragex-v2-thanos-store-1""}"
api-server,Experience/API,CONTAINER,MISSING,CORE,8.0,16.0,docker,docker,False,True,UNKNOWN,"[""redis""]","[""edge""]",,,,[],"[""repo_path=True"", ""dockerfile=False"", ""compose=True"", ""container=arbitragex-v2-api-server-1"", ""health=UNKNOWN"", ""active_compose=/opt/arbitragex-v2/docker/compose.dev.yml""]",Create or restore the missing repository/compose/runtime component.,"{""dockerfile"": ""dockerbackend/api-server/Dockerfile"", ""ports"": [""127.0.0.1:8080:8080""], ""image"": """", ""container_name"": ""arbitragex-v2-api-server-1""}"
edge,Experience/API,CONTAINER,MISSING,CORE,6.0,12.0,docker,docker,False,True,UNKNOWN,"[""api-server""]","[""frontend""]",,,,"[""api-server""]","[""repo_path=True"", ""dockerfile=False"", ""compose=True"", ""container=arbitragex-v2-edge-1"", ""health=UNKNOWN"", ""active_compose=/opt/arbitragex-v2/docker/compose.dev.yml""]",Create or restore the missing repository/compose/runtime component.,"{""dockerfile"": ""dockeredge/dev-local/Dockerfile"", ""ports"": [""0.0.0.0:8787:8787""], ""image"": """", ""container_name"": ""arbitragex-v2-edge-1""}"
relays-client,Processing,CONTAINER,MISSING,CORE,8.0,8.0,dockerbackend,,False,True,UNKNOWN,"[""redis""]",[],,,,[],"[""repo_path=False"", ""dockerfile=False"", ""compose=True"", ""container=arbitragex-v2-relays-client-1"", ""health=UNKNOWN"", ""active_compose=/opt/arbitragex-v2/docker/compose.prod.yml""]",Create or restore the missing repository/compose/runtime component.,"{""dockerfile"": ""dockerbackend/relays-client/Dockerfile"", ""ports"": [""127.0.0.1:3005:3005""], ""image"": """", ""container_name"": ""arbitragex-v2-relays-client-1""}"
searcher-rs,Processing,CONTAINER,MISSING,CORE,8.0,8.0,dockerbackend,,False,True,UNKNOWN,"[""redis"", ""postgres""]",[],,,,[],"[""repo_path=False"", ""dockerfile=False"", ""compose=True"", ""container=arbitragex-v2-searcher-rs-1"", ""health=UNKNOWN"", ""active_compose=/opt/arbitragex-v2/docker/compose.prod.yml""]",Create or restore the missing repository/compose/runtime component.,"{""dockerfile"": ""dockerbackend/searcher-rs/Dockerfile"", ""ports"": [], ""image"": """", ""container_name"": ""arbitragex-v2-searcher-rs-1""}"
selector-api,Experience/API,CONTAINER,MISSING,CORE,8.0,8.0,docker,docker,False,True,UNKNOWN,"[""postgres"", ""redis""]",[],,,,[],"[""repo_path=True"", ""dockerfile=False"", ""compose=True"", ""container=arbitragex-v2-selector-api-1"", ""health=UNKNOWN"", ""active_compose=/opt/arbitragex-v2/docker/compose.prod.yml""]",Create or restore the missing repository/compose/runtime component.,"{""dockerfile"": ""dockerbackend/selector-api/Dockerfile"", ""ports"": [""127.0.0.1:3002:3002""], ""image"": """", ""container_name"": ""arbitragex-v2-selector-api-1""}"
sim-ctl,Processing,CONTAINER,MISSING,CORE,8.0,8.0,dockerbackend,,False,True,UNKNOWN,"[""postgres"", ""redis""]",[],,,,[],"[""repo_path=False"", ""dockerfile=False"", ""compose=True"", ""container=arbitragex-v2-sim-ctl-1"", ""health=UNKNOWN"", ""active_compose=/opt/arbitragex-v2/docker/compose.prod.yml""]",Create or restore the missing repository/compose/runtime component.,"{""dockerfile"": ""dockerbackend/sim-ctl/Dockerfile"", ""ports"": [""127.0.0.1:3003:3003""], ""image"": """", ""container_name"": ""arbitragex-v2-sim-ctl-1""}"
frontend,Experience/API,CONTAINER,MISSING,CORE,6.0,6.0,docker,docker,False,True,UNKNOWN,"[""edge""]",[],,,,"[""edge""]","[""repo_path=True"", ""dockerfile=False"", ""compose=True"", ""container=arbitragex-v2-frontend-1"", ""health=UNKNOWN"", ""active_compose=/opt/arbitragex-v2/docker/compose.dev.yml""]",Create or restore the missing repository/compose/runtime component.,"{""dockerfile"": ""dockerfrontend/Dockerfile"", ""ports"": [""0.0.0.0:5173:5173""], ""image"": """", ""container_name"": ""arbitragex-v2-frontend-1""}"
recon,Processing,CONTAINER,MISSING,CORE,5.0,5.0,dockerbackend,,False,True,UNKNOWN,"[""postgres""]",[],,,,[],"[""repo_path=False"", ""dockerfile=False"", ""compose=True"", ""container=arbitragex-v2-recon-1"", ""health=UNKNOWN"", ""active_compose=/opt/arbitragex-v2/docker/compose.prod.yml""]",Create or restore the missing repository/compose/runtime component.,"{""dockerfile"": ""dockerbackend/recon/Dockerfile"", ""ports"": [""127.0.0.1:3004:3004""], ""image"": """", ""container_name"": ""arbitragex-v2-recon-1""}"
token-enricher,Processing,CONTAINER,MISSING,CORE,5.0,5.0,dockerbackend,,False,True,UNKNOWN,"[""postgres"", ""redis""]",[],,,,[],"[""repo_path=False"", ""dockerfile=False"", ""compose=True"", ""container=arbitragex-v2-token-enricher-1"", ""health=UNKNOWN"", ""active_compose=/opt/arbitragex-v2/docker/compose.prod.yml""]",Create or restore the missing repository/compose/runtime component.,"{""dockerfile"": ""dockerbackend/token-enricher/Dockerfile"", ""ports"": [""127.0.0.1:9004:9004""], ""image"": """", ""container_name"": ""arbitragex-v2-token-enricher-1""}"
FILE:docker/compose.prod.yml,Repository,FILE,DRIFT,CORE,8.0,8.0,docker/compose.prod.yml,docker/compose.prod.yml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=33ddcb37f38232876618b56212c5b4cb955c4ddcd1b215be962bd16ea5948476"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.claude/worktrees/agent-a7a72813e0989b73b/.devcontainer/Dockerfile,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.claude/worktrees/agent-a7a72813e0989b73b/.devcontainer/Dockerfile,.claude/worktrees/agent-a7a72813e0989b73b/.devcontainer/Dockerfile,True,False,NO APLICA,[],[],,,,[],"[""local_hash=24d0eb0f39c8525c876d5bfb887baa9e3b1c37db38649152ff7341aad6ed5490"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.claude/worktrees/agent-a7a72813e0989b73b/.devcontainer/docker-compose.yml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.claude/worktrees/agent-a7a72813e0989b73b/.devcontainer/docker-compose.yml,.claude/worktrees/agent-a7a72813e0989b73b/.devcontainer/docker-compose.yml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=e90c57b135650eeaf349798260e08b05e966febaded04701d3621afcd855cf22"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/.devcontainer/Dockerfile,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/.devcontainer/Dockerfile,.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/.devcontainer/Dockerfile,True,False,NO APLICA,[],[],,,,[],"[""local_hash=24d0eb0f39c8525c876d5bfb887baa9e3b1c37db38649152ff7341aad6ed5490"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/.devcontainer/docker-compose.yml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/.devcontainer/docker-compose.yml,.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/.devcontainer/docker-compose.yml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=e90c57b135650eeaf349798260e08b05e966febaded04701d3621afcd855cf22"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/Cargo.lock,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/Cargo.lock,.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/Cargo.lock,True,False,NO APLICA,[],[],,,,[],"[""local_hash=e53acce98467829927315ebe6fcf4ce397329940be6823f93b97e7efaaab800c"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/api-server/Dockerfile,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/api-server/Dockerfile,.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/api-server/Dockerfile,True,False,NO APLICA,[],[],,,,[],"[""local_hash=f80a4501e1965a77f8a40072a1adbb710e3ac82f461609be966ba8e3cb51214e"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/api-server/package.json,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/api-server/package.json,.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/api-server/package.json,True,False,NO APLICA,[],[],,,,[],"[""local_hash=6c2e3fde0ced17db73677b257a5830e31c62cc8730b379cb580e2ef0d220311f"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/math-engine/Cargo.toml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/math-engine/Cargo.toml,.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/math-engine/Cargo.toml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=9b6421f5e6f28c256f841af9b7978eca7e1d0c0dd7571bbe1e4332c6c1c14110"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/mcp-sim-engine/Cargo.toml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/mcp-sim-engine/Cargo.toml,.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/mcp-sim-engine/Cargo.toml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=fa7a8a752e759767805b8fa62216989e3fd9a83a40753febb9d0b57a4508f8c3"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/prioritization-spine/Cargo.toml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/prioritization-spine/Cargo.toml,.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/prioritization-spine/Cargo.toml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=7f3707c8959d1e34f2678228d1e1602296d7e887b41c6f803cd7a36220854d23"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
FILE:.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/recon/Cargo.toml,Repository,FILE,DRIFT,SUPPORT,4.0,4.0,.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/recon/Cargo.toml,.claude/worktrees/agent-a7a72813e0989b73b/arbitragex-v2-main/backend/recon/Cargo.toml,True,False,NO APLICA,[],[],,,,[],"[""local_hash=0d6823d63592e34243e12cf653cbb58319833bbd5525b4d5db7f3f819a548931"", ""remote_hash=UNKNOWN""]",Deploy the canonical file version and verify SHA-256 parity.,{}
